network,S_avg,L_avg,C_avg,rho_avg,maxtl_avg,diam_avg,entropy_avg,T_avg,B_avg,I_avg,GenSD_avg,VulSD_avg,MxSim_avg,Cannib_avg,S1_avg,S2_avg,S3_avg,S4_avg,S5_avg,D1_avg,D2_avg,D3_avg,D4_avg,D5_avg,D6_avg,D7_avg,D8_avg,Omniv_avg,S_sd,L_sd,C_sd,rho_sd,maxtl_sd,diam_sd,entropy_sd,T_sd,B_sd,I_sd,GenSD_sd,VulSD_sd,MxSim_sd,Cannib_sd,S1_sd,S2_sd,S3_sd,S4_sd,S5_sd,D1_sd,D2_sd,D3_sd,D4_sd,D5_sd,D6_sd,D7_sd,D8_sd,Omniv_sd
N_mangal,35.35744680851064,271.331914893617,0.12351838614723008,0.6307678796773553,3.510095325674504,2.7574468085106383,0.8875442439904856,0.21751050993593873,0.29467514962188984,0.4878143404421717,1.1725913640732823,1.1046441845368935,0.7635458429442026,0.04316026213227965,0.18002602054730762,0.08384140058232545,0.00011439070087693348,0.3489126613851972,0.37457951992421096,0.005468279670309019,0.0017353186679460867,0.003315918389476648,0.0012601584619858673,0.00016838323205363307,0.00010632835658098313,0.0001782479466085131,0.00029337213512129195,0.2555146218414362,48.22950716081103,2159.064016610726,0.06519636034076653,0.09091665675469288,0.7187260212513104,1.1039448845191548,0.0427083683804147,0.198540307105784,0.18603246254193534,0.221749221993746,0.4385652578239237,0.5561615256272525,0.13459368217527226,0.07306099117830103,0.11284765765703647,0.09453276953588266,0.0016983100492662417,0.19495745690452929,0.1675344482915756,0.012211996759983067,0.004834670488047613,0.012365211779608969,0.006024197837364553,0.0014460877579274456,0.00041787886693402516,0.0007896562639408924,0.003701546021066413,0.22356678078544728
N_maxent_mangal,35.35744680851064,271.31063829787234,0.12336310165431413,0.6209091065892836,4.117338066605901,4.280851063829787,0.9404654576089765,0.21751050993593873,0.29467514962188984,0.4878143404421717,1.1724066553617922,1.1037737814173496,0.5360379884076993,0.07953607177999325,0.12110422721923589,0.09506726343561053,0.001981164889914113,0.3532299647295213,0.3801233945339855,0.007521727115542552,0.0030441946016523886,0.021292573645155313,0.01271071636145931,0.001933961425450424,4.152935546969385e-5,0.0009263279202166146,0.0010229547667860604,0.4220725415031169,48.22950716081103,2159.066417749548,0.06504325021001671,0.0839681759974973,1.5282291786032796,2.058403486593593,0.02888071658620495,0.198540307105784,0.18603246254193534,0.221749221993746,0.4377544093375302,0.5565074447262518,0.14919722659130297,0.08158695164657513,0.0875681041147881,0.06537701698368906,0.0052228058363090225,0.19665488138856782,0.16483338302795075,0.01246160905644183,0.0070029213163266945,0.028297977350266658,0.02328527444451821,0.0051267904990350945,0.00024415506844110296,0.0022395580305761787,0.0028269030232163745,0.23782413014310957
N_NZ,22.666666666666668,42.04761904761905,0.07820391007928063,0.6160716717241235,2.9750566893424035,2.0476190476190474,0.8923544436037513,0.5825231862955649,0.21376979554324704,0.20370701816118816,1.0457233700493522,2.0087299400407566,0.6846087802944222,0.012721789658321391,0.03780595292298282,0.057148200215687665,0.0,0.6787228172176945,0.22632302964363488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165941898380826,7.6507080282372115,29.304395899721584,0.016879665833034678,0.044994722215234505,0.6329589024962183,0.6690433824641326,0.019776684408834025,0.12839489918505004,0.12272795840211845,0.11953520735903082,0.3025010163923542,0.4916665594383757,0.11125217976691854,0.021999504696409572,0.030021185566158386,0.03433894327116331,0.0,0.15282464435712276,0.1434097199478096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1190276731949601
N_maxent_NZ,22.666666666666668,42.0,0.07787322224859279,0.6094355544214188,3.0705971277399846,2.238095238095238,0.9283486239686036,0.5825231862955649,0.21376979554324704,0.20370701816118816,1.0447922793371294,2.0066438007167897,0.6430911796664306,0.018255442893124054,0.02755023597607254,0.056547845046882206,0.0,0.6817952712914537,0.2295992935510426,7.787252268037224e-5,0.0014922996796817866,0.0007029729955824691,0.002234208936604442,0.0,0.0,0.0,0.0,0.24308363039548922,7.6507080282372115,29.353023694331732,0.016553319929645767,0.04939902166740254,0.8974660752769548,1.2611408289624877,0.02183823775611265,0.12839489918505004,0.12272795840211845,0.11953520735903082,0.3043060064493465,0.48842259144676614,0.09674403240225526,0.032583948415376915,0.022581118170795413,0.03154834926047026,0.0,0.15063891034369825,0.15063055317484023,0.0003568567297399712,0.006473695237997607,0.0023495098858717896,0.007894509164829682,0.0,0.0,0.0,0.0,0.13578885109120897
N_neutral_NZ,8.411764705882353,32.1764705882353,0.49036053310212974,0.8890076257849742,3.7535714285714286,2.0588235294117645,0.8185784506967122,0.02957516339869281,0.03284313725490196,0.9375816993464053,0.6865404100512764,0.707772525839556,0.905102506490812,0.4988795518207283,0.010671135020724932,0.0,0.0,0.002028397565922921,0.006109725392848417,0.0,0.0,0.08824715397150816,0.10299514145963684,0.008374183006535947,0.2430232657323687,0.11050793756697164,0.42804306028348243,0.6305555555555555,3.2798403834907073,20.854361936168313,0.20930180835371162,0.0525888221742121,0.07662327471642742,0.24253562503633305,0.053418019087500115,0.06286115696092645,0.06567723005400863,0.1112374179971491,0.2950245113494885,0.28178201692039895,0.027327325279565922,0.19843894842695936,0.034441514155346284,0.0,0.0,0.008363297415045963,0.011917343560943369,0.0,0.0,0.10240048757857667,0.09855573927438678,0.027534164590204382,0.1849702419791191,0.23677784127571233,0.23659026412427273,0.18445225329297546
N_tuesday,20.5,63.5,0.15049886621315195,0.6796541061471741,3.75,2.5,0.878600759506549,0.3404761904761905,0.025,0.6345238095238095,0.6318506812894878,1.1334052668194212,0.6944625414268271,0.19523809523809524,0.2654954231945753,0.10389406469171988,0.0,0.40417786152110446,0.21141119136513253,0.002145922746781116,0.01072961373390558,0.0,0.002145922746781116,0.0,0.0,0.0,0.0,0.6369047619047619,0.7071067811865476,10.606601717798213,0.014847638988180116,0.015836328167490796,0.3535533905932738,0.7071067811865476,0.012667406009290196,0.05724197752462529,0.03535533905932738,0.02188663846529782,0.16334749882831762,0.040715412762576966,0.1053620555603956,0.006734350297014753,0.05377916468565821,0.0255366732449868,0.0,0.007122305645783731,0.06519459221030928,0.0030347930523027793,0.015173965261513895,0.0,0.0030347930523027793,0.0,0.0,0.0,0.0,0.15994081955410006
N_maxent_tuesday,20.5,63.5,0.15049886621315195,0.6546920210117634,2.1,5.5,0.95679172998052,0.3404761904761905,0.025,0.6345238095238095,0.6318506812894878,1.1334052668194212,0.4384541219362648,0.1464285714285714,0.19263892295533208,0.11596217262148094,0.0,0.38170768266426836,0.19639985828359632,0.0037132423077971275,0.011991388003161366,0.014049001171885647,0.07525958629711389,0.004966887417218543,0.0,0.0016556291390728477,0.0016556291390728477,0.9,0.7071067811865476,10.606601717798213,0.014847638988180116,0.0058477284119605785,NaN,0.7071067811865476,0.00045691947530803677,0.05724197752462529,0.03535533905932738,0.02188663846529782,0.16334749882831762,0.040715412762576966,0.01618803838271918,0.005050762722761065,0.04765691194163278,0.004779180817438301,0.0,0.024705281483693234,0.024878719497229248,0.0005684912665904441,0.011138574647094118,0.008228670197766762,0.07151427424803854,0.007024239548210737,0.0,0.0023414131827369125,0.0023414131827369125,NaN
N_neutral_tuesday,8.0,48.0,0.75,0.9481298368335079,,2.0,0.7412942606071822,0.0,0.0,1.0,0.3420588812178349,0.3539554015482739,0.9389880952380952,0.6875,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0425531914893617,0.0,0.5487974098057354,0.10823311748381129,0.2895467160037003,,0.0,2.8284271247461903,0.04419417382415922,0.024207608868763674,,0.0,0.021473658819334312,0.0,0.0,0.0,0.003744308948429579,0.06869553214041381,0.05682108063106197,0.08838834764831845,0.0,0.0,0.0,0.0,0.0,0.015371886547533641,0.0,0.0,0.060179300526514684,0.0,0.053965133624320295,0.09288544211701179,0.102043161762351,
