network,S,L,C,rho,maxtl,diam,entropy,T,B,I,GenSD,VulSD,MxSim,Cannib,Omniv,S1,S2,S3,S4,S5,D1,D2,D3,D4,D5,D6,D7,D8
N_all,20,60,0.15,0.6367545190663986,3.0,2,0.9292309341045544,0.3,0.15,0.5499999999999999,0.8164965809277259,0.9911892555667041,0.9863636363636363,0.0,0.0,0.23684210526315788,0.0,0.0,0.42105263157894735,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,24,34,0.059027777777777776,0.4300889651869435,3.6666666666666665,3,0.9488504241715418,0.375,0.16666666666666666,0.45833333333333337,0.6877465639622736,0.9964582986587293,0.48174603174603176,0.0,0.20833333333333334,0.4025974025974026,0.025974025974025976,0.0,0.36363636363636365,0.2077922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,18,38,0.11728395061728394,0.5439763853881616,3.75,2,0.929568531367064,0.2777777777777778,0.2222222222222222,0.5,0.7773056081575607,0.8580153384431701,0.7379629629629629,0.0,0.16666666666666666,0.3357142857142857,0.0,0.0,0.35,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,19,58,0.16066481994459833,0.6259021810504158,3.5999999999999996,3,0.8973405201402956,0.15789473684210525,0.10526315789473684,0.7368421052631579,0.9101532365438689,0.8630836939769083,0.8632148553201184,0.0,0.631578947368421,0.22972972972972974,0.0777027027027027,0.0,0.3344594594594595,0.3581081081081081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,26,60,0.08875739644970414,0.5795675675951463,3.0,2,0.8760391737207621,0.2692307692307692,0.5384615384615384,0.1923076923076924,1.6615120289128882,1.1482547142898607,0.9013736263736263,0.038461538461538464,0.038461538461538464,0.03081232492997199,0.0,0.0,0.3557422969187675,0.6134453781512605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,13,17,0.10059171597633136,0.5654858896055358,3.0,2,0.9754799733756835,0.23076923076923078,0.5384615384615384,0.23076923076923073,1.374508405358579,1.1421463434675059,0.8571428571428571,0.07692307692307693,0.07692307692307693,0.1,0.0,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,56,250,0.07971938775510204,0.6415981214490565,3.8571428571428568,3,0.8322349339952583,0.0,0.6607142857142857,0.3392857142857143,1.8745877995393594,0.49254869625430764,0.9469819701436609,0.08928571428571429,0.17857142857142858,0.2029402364972835,0.07510386705017577,0.0,0.07702141259188239,0.6244806647491211,0.013742409715564077,0.003835091083413231,0.002556727388942154,0.0,0.0,0.00031959092361776926,0.0,0.0
N_all,45,212,0.10469135802469136,0.6953699874923706,3.2,2,0.8439642052266517,0.08888888888888889,0.4444444444444444,0.4666666666666667,1.5108771777591128,0.8875288902272747,0.9359896550041479,0.06666666666666667,0.15555555555555556,0.18405428329092452,0.07760814249363868,0.0,0.2179813401187447,0.49703138252756573,0.019083969465648856,0.003816793893129771,0.0,0.0,0.0,0.00042408821034775233,0.0,0.0
N_all,53,183,0.06514773940904237,0.566657036591941,3.5,3,0.8445098428556344,0.0,0.5849056603773585,0.41509433962264153,2.192874193858218,0.6852801250208539,0.9056513561833321,0.05660377358490566,0.09433962264150944,0.1117141564902759,0.024875621890547265,0.0,0.13342379014020805,0.723202170963365,0.006331976481230212,0.0004522840343735866,0.0,0.0,0.0,0.0,0.0,0.0
N_all,40,98,0.06125,0.6452778101668584,3.230769230769231,2,0.9173000580358966,0.075,0.625,0.30000000000000004,2.155738611724011,0.7506267027107223,0.8791164732483383,0.075,0.125,0.18875,0.07125,0.0,0.07625,0.6525,0.00875,0.0025,0.0,0.0,0.0,0.0,0.0,0.0
N_all,44,165,0.08522727272727272,0.6653185629721955,3.5,3,0.8876861208798965,0.022727272727272728,0.4772727272727273,0.5,1.8078210791623062,0.7846064205333261,0.9308416961826054,0.06818181818181818,0.13636363636363635,0.16966879721092387,0.06914584543869844,0.0,0.15398024404416036,0.5967460778617083,0.008715862870424172,0.0017431725740848344,0.0,0.0,0.0,0.0,0.0,0.0
N_all,30,121,0.13444444444444445,0.7338887387456401,3.1111111111111107,2,0.795411427668754,0.16666666666666666,0.23333333333333334,0.6000000000000001,1.8340906117335656,0.6996994600312761,0.9110942760942761,0.06666666666666667,0.16666666666666666,0.07148864592094197,0.0815811606391926,0.0,0.14634146341463414,0.6837678721614803,0.011774600504625737,0.002523128679562658,0.002523128679562658,0.0,0.0,0.0,0.0,0.0
N_all,30,71,0.07888888888888888,0.5949602244480536,2.8000000000000003,2,0.8755078065239214,0.1,0.6,0.30000000000000004,2.011108837465233,0.9954784946560203,,0.03333333333333333,0.03333333333333333,0.05523809523809524,0.0,0.0,0.24571428571428572,0.699047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_all,50,254,0.1016,0.6859750375986898,3.8571428571428568,3,0.8472367450175085,0.0,0.58,0.42000000000000004,1.6372597982463197,0.4948742161408084,0.915649542644774,0.12,0.2,0.20565371024734982,0.09081272084805654,0.0,0.0812720848056537,0.5731448763250884,0.03392226148409894,0.008480565371024734,0.00530035335689046,0.0,0.0,0.0014134275618374558,0.0,0.0
N_all,42,179,0.10147392290249434,0.65910531864667,3.5,3,0.8506770194347831,0.023809523809523808,0.4523809523809524,0.5238095238095237,1.6478121133528167,0.6758025220789252,0.9217836257309941,0.07142857142857142,0.14285714285714285,0.16666666666666666,0.053691275167785234,0.0,0.16275167785234898,0.5861297539149888,0.026845637583892617,0.003355704697986577,0.0,0.0,0.0,0.0005592841163310962,0.0,0.0
N_all,33,138,0.12672176308539945,0.6448565966175837,4.0,3,0.85137218516632,0.0,0.45454545454545453,0.5454545454545454,1.376889061512461,0.6479026800359228,0.8986753986753987,0.12121212121212122,0.15151515151515152,0.21168501270110077,0.02540220152413209,0.0,0.21676545300592717,0.514817950889077,0.0279424216765453,0.002540220152413209,0.0,0.0,0.0,0.000846740050804403,0.0,0.0
N_all,50,250,0.1,0.6252687613644681,3.0,2,0.884291321620718,0.08,0.52,0.4,1.740748138483179,0.5699982098074287,0.9251349206349206,0.06,0.12,0.136669874879692,0.06223933269169073,0.0,0.1369906961822265,0.6474173885145974,0.013474494706448507,0.0028873917228103944,0.0,0.0,0.0,0.0003208213025344883,0.0,0.0
N_all,44,225,0.11621900826446281,0.6822275214881158,3.6666666666666665,3,0.8489614926865618,0.0,0.4318181818181818,0.5681818181818181,1.4537797321527581,0.6440654681816503,0.9271137220550713,0.09090909090909091,0.18181818181818182,0.22301304863582444,0.08145512060102808,0.0,0.1605377619612495,0.5144325820482404,0.01542111506524318,0.004744958481613286,0.0,0.0,0.0,0.00039541320680110717,0.0,0.0
N_all,29,82,0.09750297265160524,0.646986735175096,3.5,3,0.8861761942813018,0.0,0.5172413793103449,0.48275862068965514,1.5417616480341658,0.5831840873878867,0.9261083743842364,0.10344827586206896,0.1724137931034483,0.258252427184466,0.05436893203883495,0.0,0.13203883495145632,0.537864077669903,0.013592233009708738,0.003883495145631068,0.0,0.0,0.0,0.0,0.0,0.0
N_all,61,314,0.08438591776404192,0.6454270207941191,4.0,3,0.8637381668561561,0.0,0.4426229508196721,0.5573770491803278,1.7331725948578631,0.6576809672393481,0.9489167933494939,0.09836065573770492,0.16393442622950818,0.1900441963247267,0.059781344498720634,0.0,0.14305652477320308,0.5864154454524309,0.018143754361479414,0.00209351011863224,0.0,0.0,0.0,0.00046522447080716444,0.0,0.0
