network,S_avg,L_avg,C_avg,rho_avg,maxtl_avg,diam_avg,entropy_avg,T_avg,B_avg,I_avg,GenSD_avg,VulSD_avg,MxSim_avg,Cannib_avg,Omniv_avg,S1_avg,S2_avg,S3_avg,S4_avg,S5_avg,D1_avg,D2_avg,D3_avg,D4_avg,D5_avg,D6_avg,D7_avg,D8_avg,S_sd,L_sd,C_sd,rho_sd,maxtl_sd,diam_sd,entropy_sd,T_sd,B_sd,I_sd,GenSD_sd,VulSD_sd,MxSim_sd,Cannib_sd,Omniv_sd,S1_sd,S2_sd,S3_sd,S4_sd,S5_sd,D1_sd,D2_sd,D3_sd,D4_sd,D5_sd,D6_sd,D7_sd,D8_sd
N_all,31.56420233463035,123.07782101167315,0.12023933044730782,0.630312282334098,3.4585548327225637,2.6809338521400776,0.8880543283637513,0.24913427458319357,0.28584784395160906,0.46501788146519774,1.156264392217544,1.180608438162789,0.7592566308314909,0.042002697017471974,0.25460174869048596,0.16913260372753086,0.08178307299649176,0.00010415340079845305,0.37633000036820385,0.3611248179012433,0.004998387476074816,0.0016641139576867151,0.0030191630472277656,0.001164081422561304,0.00015331391556634296,9.68789495537574e-5,0.0001622957957447162,0.0002671170413166627,18.226567861816463,159.03162081873361,0.06371004701195826,0.08778195514000589,0.7078213029271577,1.0566688812081195,0.041162856418928924,0.21723847293161516,0.18395344309354908,0.22846868315208063,0.4308048395483655,0.6016371349305256,0.13570986596559503,0.07188185734039003,0.21914996946658075,0.11516455599255003,0.09103144613444401,0.00162055390874382,0.21117320361034173,0.17017283007104825,0.011752891696034584,0.004800903223030276,0.011834734627623822,0.0057613842398616735,0.001380438563373322,0.0003998593949994434,0.0007550717812030239,0.003532349715077624
N_maxentco_all,31.56420233463035,123.07782101167315,0.12023933044730782,0.4876146992730568,6.33103519668737,6.097276264591439,0.9822613448649314,0.023223072614344798,0.02407544128883945,0.9527014860968155,0.3730444898703653,0.38181403974336303,0.3612073605924648,0.12523282164774255,0.7288546843450529,0.47227619115526337,0.0336299585514397,0.021360658451991865,0.17517827365679822,0.1744014298616442,0.0027746286262567478,0.002765648512020631,0.052309699715315454,0.05236732734527329,0.008195925023880292,6.822838649886903e-5,0.0012682345123713823,0.003403796201246029,18.226567861816463,159.03162081873361,0.06371004701195826,0.10654353243508986,2.792773148584337,2.690091841329212,0.009676914133709046,0.05500618563884752,0.046680002423590536,0.07944248198560466,0.12229996738685292,0.15241022485868347,0.08479298248009604,0.09805001107201677,0.20198555402117332,0.08708520421101322,0.026039507729924763,0.015771318587924993,0.04080299066134406,0.04021468081946942,0.005700544405800894,0.005285093587767114,0.044166178472750915,0.04133191684834321,0.021280535158588975,0.000526242204151787,0.004537738400438375,0.007466764385268982
N_maxentjds_all,31.56420233463035,123.05836575875486,0.12003695634606901,0.6206215739454195,4.072500501240916,4.19455252918288,0.939316516395446,0.24913427458319357,0.28584784395160906,0.46501788146519774,1.1560820186760923,1.1799647450700865,0.5449586898601085,0.07131697789581365,0.4046220698776949,0.11451735468928821,0.09249305456123101,0.0013127947885702824,0.37938840299260257,0.36510519534330776,0.006928864209399367,0.0031182705708467894,0.019737699527845716,0.012826859411000592,0.0024172804191430826,7.543345747950269e-5,0.0007452349769605224,0.0013335550523245123,18.226567861816463,159.04384866721918,0.06347276199117735,0.08013732404675201,1.539998321001293,2.0041678969447556,0.02894546475659423,0.21723847293161516,0.18395344309354908,0.22846868315208063,0.4301277126636511,0.6014462225929567,0.14578150987923635,0.08528526800008497,0.23279700535455364,0.08921011551680083,0.061629554370374894,0.003166449643050659,0.21291047517152914,0.1693861472450139,0.014132252055377053,0.007064724702420456,0.0278648283789169,0.025255292964713287,0.005961748865836979,0.0005081395379795518,0.0022612509879949396,0.005488737492398605
N_nullco_all,31.56420233463035,123.07782101167315,0.12023933044730782,0.5248825738449154,6.846875,6.509727626459144,0.9376353885033627,0.07681155070413583,0.08807414186846901,0.8351143074273946,0.5830534856427652,0.5676993889251558,0.37841127408916436,0.1263129025137427,0.6347483999952216,0.40207944315608996,0.05192224637174919,0.0177336608634306,0.1991789651294438,0.2030243842736519,0.0039627772908917775,0.0054607036856490305,0.052503801925072154,0.0494778488960764,0.008479390861131688,0.00013998624304640883,0.001511932909059222,0.00452485839470786,18.226567861816463,159.03162081873361,0.06371004701195826,0.1069214909587151,2.2851969497630504,2.3152227897435402,0.016101170759490607,0.08697459919948228,0.10070944552844079,0.17276211009632922,0.17873931083602693,0.16616634660726937,0.08190374645817046,0.10495631616509588,0.17381887793048276,0.07831638635106344,0.035216969092914475,0.019036498593713265,0.04844651182165566,0.04704992860101603,0.008256584848639422,0.011013525951143077,0.043435766312532785,0.043578213426890555,0.01301009828367156,0.0011264385896932036,0.004744237764767957,0.011421061290787458
N_nulljds_all,31.56420233463035,123.07782101167315,0.12023933044730782,0.7312778160357957,3.0272966280479774,2.7237354085603114,0.8676568579108492,0.29375534792240204,0.29131885732007107,0.41584437045859785,1.4439187451041944,1.590875734766646,0.7642592455812968,0.08729856214735403,0.3968617290890154,0.023297525656262894,0.10724376585095322,0.00013057615230566394,0.42138717759275046,0.4046248813372862,0.0138600910729926,0.007092262255054246,0.011862207764080007,0.0071342445967029905,0.0007358522952340284,0.00011043373764278289,0.0011511675360911767,0.0013698141526433706,18.226567861816463,159.03162081873361,0.06371004701195826,0.05312010074248118,0.9517379754412999,1.3712807853309619,0.04500993328408289,0.287542354121737,0.27344690735699717,0.2496201308352107,0.7220918816545476,1.1360727830588897,0.11665696843856609,0.06362756380223426,0.2687196143935054,0.030154762063566525,0.07525803812111435,0.00046285102066136516,0.31454792364109774,0.28644448629817515,0.02450969754046807,0.015071469442228059,0.020417038619140314,0.018534334578838914,0.0019520267204236907,0.0005192630439997827,0.003877194251839113,0.009738253268294314
